Frame,Ear Value,Abnormal Blink,PERCLOS,Alarm Level
837,0.201,1,0.00,0
838,0.224,1,0.00,0
839,0.207,1,0.00,0
840,0.213,1,94.52,2
841,0.208,1,94.64,2
842,0.196,1,94.76,2
843,0.210,1,94.76,2
844,0.182,1,94.76,2
845,0.232,1,94.76,2
846,0.193,1,94.76,2
847,0.195,1,94.76,2
848,0.194,1,94.76,2
849,0.192,1,94.76,2
850,0.245,1,94.76,2
851,0.229,1,94.76,2
852,0.165,1,94.76,2
853,0.194,1,94.76,2
854,0.192,1,94.76,2
855,0.224,1,94.76,2
856,0.177,1,94.76,2
857,0.213,1,94.76,2
858,0.228,1,94.76,2
859,0.195,1,94.76,2
860,0.195,1,94.76,2
861,0.199,1,94.76,2
862,0.206,1,94.76,2
863,0.203,1,94.76,2
864,0.205,1,94.76,2
865,0.216,1,94.76,2
866,0.205,1,94.76,2
867,0.181,1,94.76,2
868,0.191,1,94.76,2
869,0.195,1,94.76,2
870,0.213,1,94.76,2
871,0.184,1,94.76,2
872,0.203,1,94.76,2
873,0.194,1,94.76,2
874,0.194,1,94.76,2
875,0.161,1,94.76,2
876,0.213,1,94.76,2
877,0.169,1,94.76,2
878,0.194,1,94.76,2
879,0.195,1,94.76,2
880,0.211,1,94.76,2
881,0.188,1,94.76,2
882,0.175,1,94.76,2
883,0.176,1,94.76,2
884,0.191,1,94.76,2
885,0.191,1,94.76,2
886,0.232,1,94.76,2
887,0.233,1,94.76,2
888,0.152,1,94.76,2
889,0.188,1,94.76,2
890,0.177,1,94.76,2
891,0.216,1,94.76,2
892,0.213,1,94.76,2
893,0.213,1,94.76,2
894,0.233,1,94.76,2
895,0.221,1,94.76,2
896,0.210,1,94.76,2
897,0.191,1,94.88,2
898,0.195,1,95.00,2
899,0.210,1,95.12,2
900,0.224,1,95.24,2
901,0.235,1,95.36,2
902,0.232,1,95.48,2
903,0.202,1,95.60,2
904,0.214,1,95.71,2
905,0.213,1,95.83,2
906,0.194,1,95.95,2
907,0.213,1,96.07,2
908,0.194,1,96.19,2
909,0.205,1,96.31,2
910,0.213,1,96.43,2
911,0.210,1,96.55,2
912,0.229,1,96.67,2
913,0.232,1,96.79,2
914,0.210,1,96.90,2
915,0.196,1,97.02,2
916,0.188,1,97.14,2
917,0.191,1,97.14,2
918,0.211,1,97.14,2
919,0.199,1,97.14,2
920,0.224,1,97.14,2
921,0.194,1,97.26,2
922,0.172,1,97.38,2
923,0.213,1,97.50,2
924,0.193,1,97.62,2
925,0.198,1,97.74,2
926,0.176,1,97.86,2
927,0.211,1,97.98,2
928,0.195,1,98.10,2
929,0.233,1,98.10,2
930,0.214,1,98.10,2
931,0.227,1,98.10,2
932,0.233,1,98.10,2
933,0.194,1,98.10,2
934,0.194,1,98.10,2
935,0.171,1,98.10,2
936,0.233,1,98.10,2
937,0.214,1,98.10,2
938,0.212,1,98.10,2
939,0.195,1,98.10,2
940,0.229,1,98.10,2
941,0.179,1,98.10,2
942,0.194,1,98.10,2
943,0.210,1,98.10,2
944,0.201,1,98.10,2
945,0.208,1,98.10,2
946,0.195,1,98.10,2
947,0.194,1,98.10,2
948,0.175,1,98.10,2
949,0.175,1,98.10,2
950,0.195,1,98.10,2
951,0.181,1,98.10,2
952,0.194,1,98.10,2
953,0.213,1,98.10,2
954,0.196,1,98.10,2
955,0.191,1,98.10,2
956,0.188,1,98.10,2
957,0.190,1,98.10,2
958,0.191,1,98.21,2
959,0.197,1,98.33,2
960,0.195,1,98.45,2
961,0.193,1,98.57,2
962,0.195,1,98.69,2
963,0.181,1,98.81,2
964,0.195,1,98.93,2
965,0.170,1,99.05,2
966,0.174,1,99.17,2
967,0.176,1,99.29,2
968,0.219,1,99.40,2
969,0.176,1,99.40,2
970,0.191,1,99.40,2
971,0.192,1,99.40,2
972,0.170,1,99.40,2
973,0.177,1,99.40,2
974,0.170,1,99.40,2
975,0.176,1,99.40,2
976,0.231,1,99.40,2
977,0.202,1,99.40,2
978,0.168,1,99.40,2
979,0.181,1,99.40,2
980,0.193,1,99.40,2
981,0.196,1,99.40,2
982,0.193,1,99.40,2
983,0.194,1,99.52,2
984,0.214,1,99.64,2
985,0.195,1,99.76,2
986,0.194,1,99.88,2
987,0.210,1,100.00,2
